Gene stable ID	Gene start (bp)	Gene end (bp)	Strand	GOSlim GOA Accession(s)	GOSlim GOA Description	HGNC symbol	Gene type
ENSG00000215397	661596	676179	-1	GO:0043167	ion binding	SCRT2	protein_coding
ENSG00000215397	661596	676179	-1	GO:0007165	signal transduction	SCRT2	protein_coding
ENSG00000215397	661596	676179	-1	GO:0008219	cell death	SCRT2	protein_coding
ENSG00000215397	661596	676179	-1	GO:0000228	nuclear chromosome	SCRT2	protein_coding
ENSG00000215397	661596	676179	-1	GO:0005575	cellular_component	SCRT2	protein_coding
ENSG00000215397	661596	676179	-1	GO:0005622	intracellular	SCRT2	protein_coding
ENSG00000215397	661596	676179	-1	GO:0005623	cell	SCRT2	protein_coding
ENSG00000215397	661596	676179	-1	GO:0005634	nucleus	SCRT2	protein_coding
ENSG00000215397	661596	676179	-1	GO:0005694	chromosome	SCRT2	protein_coding
ENSG00000215397	661596	676179	-1	GO:0030154	cell differentiation	SCRT2	protein_coding
ENSG00000215397	661596	676179	-1	GO:0040011	locomotion	SCRT2	protein_coding
ENSG00000215397	661596	676179	-1	GO:0048856	anatomical structure development	SCRT2	protein_coding
ENSG00000215397	661596	676179	-1	GO:0048870	cell motility	SCRT2	protein_coding
ENSG00000215397	661596	676179	-1	GO:0003677	DNA binding	SCRT2	protein_coding
ENSG00000215397	661596	676179	-1	GO:0008150	biological_process	SCRT2	protein_coding
ENSG00000215397	661596	676179	-1	GO:0009058	biosynthetic process	SCRT2	protein_coding
ENSG00000215397	661596	676179	-1	GO:0034641	cellular nitrogen compound metabolic process	SCRT2	protein_coding
ENSG00000215397	661596	676179	-1	GO:0043226	organelle	SCRT2	protein_coding
ENSG00000215397	661596	676179	-1	GO:0001071	nucleic acid binding transcription factor activity	SCRT2	protein_coding
ENSG00000215397	661596	676179	-1	GO:0003674	molecular_function	SCRT2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0009058	biosynthetic process	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0034641	cellular nitrogen compound metabolic process	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0008150	biological_process	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0005575	cellular_component	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0005622	intracellular	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0005654	nucleoplasm	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0043226	organelle	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0005634	nucleus	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0005623	cell	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0003674	molecular_function	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0003677	DNA binding	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0001071	nucleic acid binding transcription factor activity	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0008150	biological_process	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0034641	cellular nitrogen compound metabolic process	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0009058	biosynthetic process	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0005622	intracellular	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0005575	cellular_component	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0005623	cell	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0005634	nucleus	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0005654	nucleoplasm	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0043226	organelle	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0003677	DNA binding	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0001071	nucleic acid binding transcription factor activity	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0003674	molecular_function	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0003674	molecular_function	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0003677	DNA binding	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0001071	nucleic acid binding transcription factor activity	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0008150	biological_process	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0034641	cellular nitrogen compound metabolic process	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0009058	biosynthetic process	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0005575	cellular_component	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0005622	intracellular	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0043226	organelle	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0005634	nucleus	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0005654	nucleoplasm	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0005623	cell	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0009058	biosynthetic process	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0034641	cellular nitrogen compound metabolic process	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0008150	biological_process	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0005575	cellular_component	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0005623	cell	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0005654	nucleoplasm	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0043226	organelle	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0005634	nucleus	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0005622	intracellular	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0003677	DNA binding	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0001071	nucleic acid binding transcription factor activity	TOX2	protein_coding
ENSG00000124191	43914864	44069616	1	GO:0003674	molecular_function	TOX2	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005737	cytoplasm	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0008150	biological_process	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0007010	cytoskeleton organization	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0043226	organelle	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005886	plasma membrane	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005829	cytosol	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005856	cytoskeleton	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0003674	molecular_function	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005575	cellular_component	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005623	cell	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005198	structural molecule activity	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0008092	cytoskeletal protein binding	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005622	intracellular	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005575	cellular_component	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005622	intracellular	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005623	cell	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005856	cytoskeleton	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0043226	organelle	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0003674	molecular_function	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005575	cellular_component	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005623	cell	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005622	intracellular	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0008092	cytoskeletal protein binding	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0043226	organelle	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005856	cytoskeleton	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005856	cytoskeleton	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0043226	organelle	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005886	plasma membrane	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005829	cytosol	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0007010	cytoskeleton organization	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0008150	biological_process	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005737	cytoplasm	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0003674	molecular_function	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005575	cellular_component	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0008092	cytoskeletal protein binding	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005198	structural molecule activity	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005623	cell	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005622	intracellular	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005575	cellular_component	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005622	intracellular	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005623	cell	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005198	structural molecule activity	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0008092	cytoskeletal protein binding	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0003674	molecular_function	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0007010	cytoskeleton organization	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005737	cytoplasm	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005829	cytosol	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0043226	organelle	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005856	cytoskeleton	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005886	plasma membrane	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0008150	biological_process	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005856	cytoskeleton	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0043226	organelle	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005623	cell	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005622	intracellular	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005575	cellular_component	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0043226	organelle	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005856	cytoskeleton	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0008092	cytoskeletal protein binding	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005622	intracellular	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005575	cellular_component	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005623	cell	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0003674	molecular_function	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005575	cellular_component	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005623	cell	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005622	intracellular	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005198	structural molecule activity	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0008092	cytoskeletal protein binding	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0003674	molecular_function	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0008150	biological_process	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005856	cytoskeleton	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0043226	organelle	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005829	cytosol	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005886	plasma membrane	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005737	cytoplasm	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0007010	cytoskeleton organization	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0008150	biological_process	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0043226	organelle	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005856	cytoskeleton	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0007010	cytoskeleton organization	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005622	intracellular	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005623	cell	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0008092	cytoskeletal protein binding	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005198	structural molecule activity	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005575	cellular_component	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0003674	molecular_function	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0003674	molecular_function	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0007010	cytoskeleton organization	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005856	cytoskeleton	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0043226	organelle	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0008150	biological_process	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005575	cellular_component	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005622	intracellular	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005198	structural molecule activity	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0008092	cytoskeletal protein binding	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005623	cell	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0003674	molecular_function	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005856	cytoskeleton	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0043226	organelle	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0008150	biological_process	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0007010	cytoskeleton organization	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005575	cellular_component	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005623	cell	EPB41L1	protein_coding
ENSG00000088367	36091504	36232799	1	GO:0005622	intracellular	EPB41L1	protein_coding
